year,statefip,state_name,census_region_name,labor_force_participation_rate,employment_rate,hhincome,incwage,poverty_rate,food_stamp_recipiency,homeownership_rate,rental_rate,rent_average_total,attending_school,educ_hs_grad,educ_college_grad,pct_hispanic,pct_white,pct_black,pct_asian,pct_female,pct_married,commute_car,commute_public,commute_time,work_from_home,migrate_no_move,migrate_same_state,migrate_new_state
2019,22,louisiana,South,0.591,0.946,83009,45060,0.190,0.174,0.683,0.317,974,0.247,0.672,0.177,0.054,0.618,0.324,0.017,0.512,0.344,0.907,0.012,25.7,0.039,0.865,0.105,0.015
2020,22,louisiana,South,0.580,0.914,86720,47382,0.182,0.186,0.706,0.294,981,0.237,0.683,0.195,0.054,0.587,0.316,0.015,0.514,0.356,0.869,0.010,23.4,0.082,0.876,0.093,0.017
2021,22,louisiana,South,0.583,0.923,84716,47376,0.197,0.225,0.692,0.308,1033,0.241,0.681,0.186,0.056,0.579,0.312,0.018,0.510,0.351,0.877,0.006,23.3,0.083,0.862,0.106,0.018
2022,22,louisiana,South,0.595,0.946,88096,48873,0.187,0.219,0.701,0.299,1128,0.245,0.688,0.191,0.057,0.577,0.312,0.018,0.510,0.349,0.870,0.007,23.5,0.081,0.870,0.097,0.017
2018,23,maine,Northeast,0.631,0.962,86847,43042,0.116,0.126,0.762,0.238,988,0.204,0.766,0.235,0.016,0.943,0.014,0.014,0.512,0.421,0.880,0.000,22.6,0.059,0.850,0.110,0.029
2019,23,maine,Northeast,0.623,0.967,89532,43822,0.110,0.125,0.761,0.239,1007,0.203,0.770,0.252,0.018,0.941,0.016,0.012,0.514,0.421,0.878,0.007,22.6,0.064,0.867,0.096,0.026
2020,23,maine,Northeast,0.614,0.950,93962,45265,0.105,0.111,0.795,0.205,1087,0.196,0.777,0.260,0.016,0.916,0.015,0.011,0.508,0.429,0.791,0.005,21.0,0.160,0.880,0.081,0.027
2021,23,maine,Northeast,0.615,0.949,102875,49681,0.122,0.118,0.789,0.211,1115,0.201,0.780,0.275,0.019,0.902,0.015,0.012,0.508,0.437,0.763,0.002,19.9,0.184,0.879,0.081,0.030
2022,23,maine,Northeast,0.616,0.971,105873,52425,0.105,0.119,0.780,0.220,1282,0.198,0.787,0.277,0.021,0.909,0.017,0.010,0.505,0.444,0.784,0.005,21.2,0.152,0.893,0.067,0.029
2018,24,maryland,South,0.677,0.952,125628,59538,0.091,0.114,0.702,0.298,1511,0.253,0.719,0.295,0.104,0.548,0.300,0.064,0.515,0.388,0.833,0.042,31.6,0.051,0.852,0.102,0.027
2019,24,maryland,South,0.676,0.953,129844,61663,0.093,0.116,0.692,0.308,1566,0.250,0.719,0.297,0.106,0.545,0.303,0.064,0.516,0.381,0.827,0.079,31.9,0.055,0.863,0.095,0.024
2020,24,maryland,South,0.658,0.940,137247,64180,0.088,0.123,0.708,0.292,1624,0.244,0.722,0.316,0.110,0.504,0.290,0.066,0.517,0.388,0.705,0.048,24.6,0.211,0.870,0.084,0.029
2021,24,maryland,South,0.667,0.941,135236,66623,0.102,0.155,0.710,0.290,1645,0.246,0.725,0.309,0.111,0.490,0.294,0.067,0.513,0.389,0.692,0.030,22.2,0.241,0.875,0.084,0.026
2022,24,maryland,South,0.670,0.961,140310,68781,0.098,0.139,0.714,0.286,1740,0.245,0.728,0.320,0.114,0.484,0.297,0.065,0.513,0.388,0.728,0.038,24.8,0.196,0.875,0.083,0.023
2018,25,massachusetts,Northeast,0.669,0.952,128779,60819,0.103,0.117,0.662,0.338,1512,0.251,0.740,0.331,0.123,0.774,0.078,0.068,0.514,0.387,0.771,0.069,28.8,0.053,0.867,0.093,0.022
2019,25,massachusetts,Northeast,0.676,0.960,136296,63592,0.095,0.114,0.663,0.337,1565,0.245,0.747,0.336,0.124,0.770,0.079,0.069,0.514,0.389,0.770,0.103,29.5,0.053,0.866,0.094,0.021
2020,25,massachusetts,Northeast,0.659,0.931,144025,66188,0.094,0.131,0.677,0.323,1665,0.236,0.752,0.351,0.126,0.717,0.068,0.071,0.513,0.393,0.655,0.066,22.3,0.216,0.877,0.084,0.023
2021,25,massachusetts,Northeast,0.668,0.933,143629,69180,0.105,0.161,0.678,0.322,1699,0.240,0.747,0.349,0.128,0.692,0.066,0.071,0.512,0.392,0.657,0.045,21.0,0.237,0.866,0.094,0.024
2022,25,massachusetts,Northeast,0.668,0.960,151998,73119,0.105,0.163,0.673,0.327,1862,0.237,0.754,0.353,0.131,0.688,0.071,0.073,0.510,0.391,0.687,0.062,23.3,0.183,0.869,0.086,0.025
2018,26,michigan,Midwest,0.614,0.948,88187,45438,0.144,0.146,0.738,0.262,991,0.240,0.726,0.214,0.051,0.782,0.139,0.033,0.508,0.392,0.908,0.000,23.5,0.041,0.859,0.112,0.014
2019,26,michigan,Midwest,0.619,0.949,93185,46747,0.134,0.136,0.746,0.254,1027,0.238,0.729,0.219,0.053,0.783,0.138,0.033,0.508,0.388,0.908,0.013,23.8,0.044,0.862,0.111,0.013
2020,26,michigan,Midwest,0.602,0.922,97114,48052,0.126,0.149,0.772,0.228,1070,0.225,0.736,0.235,0.053,0.746,0.134,0.033,0.507,0.395,0.814,0.011,21.2,0.142,0.880,0.093,0.014
2021,26,michigan,Midwest,0.606,0.932,97239,49510,0.135,0.162,0.769,0.231,1103,0.229,0.735,0.230,0.056,0.740,0.134,0.032,0.505,0.395,0.796,0.008,19.9,0.165,0.880,0.094,0.013
2022,26,michigan,Midwest,0.618,0.952,102867,52647,0.135,0.155,0.769,0.231,1224,0.229,0.741,0.235,0.057,0.740,0.132,0.033,0.505,0.394,0.818,0.007,20.9,0.137,0.875,0.096,0.016
2018,27,minnesota,Midwest,0.692,0.966,106989,50926,0.100,0.087,0.753,0.247,1144,0.249,0.726,0.265,0.054,0.824,0.067,0.048,0.500,0.417,0.865,0.003,22.3,0.056,0.854,0.110,0.019
2019,27,minnesota,Midwest,0.693,0.969,112827,53605,0.092,0.080,0.758,0.242,1217,0.245,0.726,0.268,0.055,0.820,0.066,0.050,0.503,0.413,0.856,0.033,23.0,0.067,0.857,0.110,0.018
2020,27,minnesota,Midwest,0.680,0.946,115282,53729,0.078,0.076,0.787,0.213,1240,0.239,0.732,0.275,0.056,0.784,0.067,0.048,0.501,0.422,0.747,0.023,19.4,0.191,0.866,0.101,0.018
2021,27,minnesota,Midwest,0.686,0.950,119948,56434,0.091,0.090,0.778,0.222,1288,0.241,0.732,0.277,0.058,0.777,0.069,0.051,0.500,0.414,0.736,0.015,17.5,0.210,0.866,0.104,0.016
2022,27,minnesota,Midwest,0.680,0.967,124376,59788,0.097,0.085,0.773,0.227,1401,0.237,0.740,0.286,0.058,0.772,0.066,0.052,0.497,0.421,0.771,0.017,19.0,0.169,0.865,0.099,0.021
2018,28,mississippi,South,0.565,0.927,69912,38463,0.204,0.177,0.685,0.315,856,0.257,0.669,0.162,0.029,0.581,0.381,0.009,0.516,0.357,0.943,0.000,24.2,0.027,0.866,0.100,0.022
2019,28,mississippi,South,0.572,0.934,73347,39629,0.200,0.161,0.687,0.313,852,0.254,0.667,0.153,0.030,0.581,0.381,0.010,0.518,0.353,0.937,0.003,24.1,0.032,0.869,0.099,0.020
2020,28,mississippi,South,0.568,0.921,76368,41506,0.188,0.166,0.719,0.281,856,0.242,0.682,0.172,0.030,0.568,0.356,0.010,0.517,0.362,0.918,0.002,24.0,0.049,0.879,0.084,0.022
2021,28,mississippi,South,0.565,0.936,75962,41682,0.195,0.168,0.708,0.292,912,0.246,0.681,0.174,0.032,0.561,0.361,0.009,0.514,0.360,0.908,0.002,23.7,0.062,0.884,0.083,0.020
